COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"66000","臺中市","66000010","中區",127,1012,3995,2013,4615,1509,1179,17,47,"110Y"
"66000","臺中市","66000020","東區",489,4618,19939,8291,20135,7056,5800,77,359,"110Y"
"66000","臺中市","66000030","南區",1597,10766,38130,15162,29145,7998,5923,148,312,"110Y"
"66000","臺中市","66000040","西區",1502,10567,34796,13173,24440,6377,5427,119,283,"110Y"
"66000","臺中市","66000050","北區",1572,11007,42467,16658,36120,10501,8132,97,428,"110Y"
"66000","臺中市","66000060","西屯區",2750,20821,68591,25422,50038,13753,10679,140,654,"110Y"
"66000","臺中市","66000070","南屯區",1998,16230,54904,20345,37179,8971,8091,99,387,"110Y"
"66000","臺中市","66000080","北屯區",2097,22208,83631,33547,70286,18028,15133,472,805,"110Y"
"66000","臺中市","66000090","豐原區",609,8712,40223,17178,44034,15935,13695,121,794,"110Y"
"66000","臺中市","66000100","東勢區",113,1793,9639,4522,15020,6148,5843,39,386,"110Y"
"66000","臺中市","66000110","大甲區",176,3348,17089,6014,20274,8904,7817,160,907,"110Y"
"66000","臺中市","66000120","清水區",236,4229,20493,7546,23344,10272,9398,150,1157,"110Y"
"66000","臺中市","66000130","沙鹿區",449,5552,23418,8819,23515,8757,8437,138,988,"110Y"
"66000","臺中市","66000140","梧棲區",129,2736,14554,5106,15188,6418,5669,87,633,"110Y"
"66000","臺中市","66000150","后里區",115,2047,11638,4439,15064,6596,6072,50,598,"110Y"
"66000","臺中市","66000160","神岡區",134,2495,14816,5713,18100,7305,7390,63,529,"110Y"
"66000","臺中市","66000170","潭子區",335,5206,27333,11663,31193,9979,8282,83,511,"110Y"
"66000","臺中市","66000180","大雅區",271,4676,23625,8754,25625,10819,6875,177,601,"110Y"
"66000","臺中市","66000190","新社區",51,683,4513,1905,7070,3374,3305,67,353,"110Y"
"66000","臺中市","66000200","石岡區",30,535,3004,1328,4416,1936,1689,22,90,"110Y"
"66000","臺中市","66000210","外埔區",60,1172,6566,2383,9279,4321,3635,37,485,"110Y"
"66000","臺中市","66000220","大安區",23,558,3599,1260,5446,2523,2891,73,330,"110Y"
"66000","臺中市","66000230","烏日區",321,4292,19658,7490,20445,7014,6502,83,704,"110Y"
"66000","臺中市","66000240","大肚區",134,2453,13042,5186,15637,6199,6010,58,711,"110Y"
"66000","臺中市","66000250","龍井區",298,3941,19585,6884,20115,8822,6378,199,956,"110Y"
"66000","臺中市","66000260","霧峰區",259,2832,15245,5544,18844,6962,6270,142,792,"110Y"
"66000","臺中市","66000270","太平區",752,9064,47713,18684,55048,20201,15096,217,1248,"110Y"
"66000","臺中市","66000280","大里區",968,11279,53768,20786,57451,21322,14224,170,1134,"110Y"
"66000","臺中市","66000290","和平區",26,255,1718,993,3614,1742,1290,19,95,"110Y"
"67000","臺南市","67000010","新營區",381,5477,20455,8539,19490,5906,5468,68,635,"110Y"
"67000","臺南市","67000020","鹽水區",68,890,4806,2263,6285,3130,3150,24,490,"110Y"
"67000","臺南市","67000030","白河區",61,863,4755,2054,7582,3838,5158,12,301,"110Y"
"67000","臺南市","67000040","柳營區",57,874,4535,1889,5471,2515,3016,20,583,"110Y"
"67000","臺南市","67000050","後壁區",68,811,4288,2036,6240,2670,4084,32,451,"110Y"
"67000","臺南市","67000060","東山區",26,487,3219,1473,5497,3375,3537,52,708,"110Y"
"67000","臺南市","67000070","麻豆區",170,2375,10501,3624,11545,4571,5495,34,373,"110Y"
"67000","臺南市","67000080","下營區",56,907,4732,1840,6024,2981,3987,16,449,"110Y"
"67000","臺南市","67000090","六甲區",66,940,4663,1851,5824,2381,3251,33,323,"110Y"
"67000","臺南市","67000100","官田區",52,952,4725,1874,5887,2358,2902,20,398,"110Y"
"67000","臺南市","67000110","大內區",12,218,1487,713,2662,1218,1989,2,137,"110Y"
"67000","臺南市","67000120","佳里區",221,3220,14479,4756,15804,6078,6570,40,503,"110Y"
"67000","臺南市","67000130","學甲區",69,968,5432,2046,7226,3110,3708,26,191,"110Y"
"67000","臺南市","67000140","西港區",50,872,5527,1679,6483,3483,3586,24,395,"110Y"
"67000","臺南市","67000150","七股區",27,523,3846,1269,5890,4030,3795,19,501,"110Y"
"67000","臺南市","67000160","將軍區",31,482,3283,1167,5281,3267,3668,18,399,"110Y"
"67000","臺南市","67000170","北門區",13,249,1746,682,2853,1887,2082,8,172,"110Y"
"67000","臺南市","67000180","新化區",165,2170,10240,3738,10778,5086,5843,21,349,"110Y"
"67000","臺南市","67000190","善化區",320,4641,12849,4651,11299,4052,4925,29,475,"110Y"
"67000","臺南市","67000200","新市區",132,2406,9743,3497,8468,3791,4021,31,213,"110Y"
"67000","臺南市","67000210","安定區",70,1253,6951,2259,7817,3830,3959,26,742,"110Y"
"67000","臺南市","67000220","山上區",12,212,1455,604,1952,896,1169,5,141,"110Y"
"67000","臺南市","67000230","玉井區",30,440,2492,1054,3803,1950,2417,7,73,"110Y"
"67000","臺南市","67000240","楠西區",7,200,1552,633,2437,1520,1851,10,192,"110Y"
"67000","臺南市","67000250","南化區",17,164,1366,536,2212,1430,1807,4,64,"110Y"
"67000","臺南市","67000260","左鎮區",11,90,554,309,1147,877,1193,2,24,"110Y"
"67000","臺南市","67000270","仁德區",315,4076,19764,7465,19366,7449,8591,59,608,"110Y"
